gsis_id,position,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
00-0034830,TE,6-4,250.0,4.67,,31.5,120.0,7.19,4.37
00-0034837,WR,6-0,189.0,4.43,15.0,31.0,110.0,6.88,4.41
00-0034750,RB,5-11,220.0,4.46,13.0,32.5,120.0,,
00-0034845,RB,5-11,214.0,4.54,22.0,,,,4.21
00-0034796,QB,6-2,216.0,,,,,,
00-0034791,RB,5-11,227.0,4.52,29.0,38.5,128.0,7.09,4.25
00-0034816,RB,5-11,205.0,4.65,,36.5,,,
00-0034348,WR,6-3,218.0,4.54,18.0,35.5,124.0,6.57,4.11
00-0034829,TE,6-5,247.0,4.54,22.0,41.5,129.0,6.76,4.1
00-0034349,RB,5-11,213.0,,11.0,40.0,126.0,7.07,4.29
00-0034860,WR,6-0,186.0,,,,,,
00-0034775,WR,5-10,201.0,4.47,20.0,35.5,115.0,7.09,4.45
00-0034351,TE,6-5,256.0,,23.0,,,,
00-0034353,WR,5-11,201.0,,22.0,,,,
00-0034358,RB,5-10,224.0,4.49,15.0,31.5,,,
00-0034676,WR,5-11,213.0,4.54,14.0,34.5,120.0,7.11,4.32
00-0034777,WR,,,,,,,,
00-0034838,RB,5-11,229.0,4.54,17.0,34.0,118.0,6.9,4.16
00-0034771,QB,6-5,235.0,4.9,,26.0,,,
00-0034764,WR,6-1,205.0,4.51,10.0,36.0,122.0,6.95,4.37
00-0034753,TE,6-5,256.0,4.67,17.0,31.0,113.0,7.34,4.38
00-0034765,WR,,,,,,,,
00-0034364,TE,6-3,249.0,,,,,,
00-0034365,TE,6-4,259.0,4.74,,36.0,123.0,7.15,4.2
00-0034366,WR,5-10,181.0,4.43,14.0,34.5,113.0,6.93,4.15
00-0034367,RB,5-8,198.0,4.38,,35.5,119.0,7.18,4.35
00-0034772,WR,5-11,200.0,4.41,,34.0,121.0,,
00-0034766,TE,6-4,253.0,,21.0,,,,
00-0034369,QB,6-3,222.0,4.81,,31.0,113.0,6.95,4.07
00-0034679,RB,5-10,202.0,4.6,18.0,31.5,118.0,,
00-0034370,WR,6-1,203.0,,,34.5,118.0,6.84,4.15
00-0034159,TE,6-4,262.0,4.87,15.0,28.0,111.0,7.07,4.4
00-0034798,TE,6-5,253.0,4.81,18.0,31.0,110.0,7.17,4.23
00-0034378,RB,,,,,,,,
00-0034799,RB,6-1,228.0,4.46,15.0,33.5,122.0,6.91,4.35
00-0034267,WR,6-5,218.0,4.56,16.0,34.5,124.0,7.2,4.4
00-0034268,WR,,,,,,,,
00-0034681,RB,5-9,205.0,4.55,19.0,34.0,122.0,6.79,4.07
00-0034383,TE,6-5,244.0,4.75,15.0,32.0,120.0,7.0,4.4
00-0034386,WR,,,,,,,,
00-0034393,TE,6-5,247.0,,14.0,,,,
00-0034270,TE,6-3,254.0,4.8,18.0,38.0,120.0,7.13,4.23
00-0034395,WR,,,,,,,,
00-0034271,WR,6-1,203.0,4.5,8.0,34.5,112.0,,4.19
00-0034331,TE,5-11,225.0,4.54,18.0,34.5,121.0,6.93,4.28
00-0034400,RB,6-1,216.0,,16.0,36.0,117.0,,4.27
00-0034401,QB,6-5,224.0,5.09,,27.0,96.0,7.4,4.4
00-0034272,WR,6-4,206.0,4.37,15.0,30.5,124.0,,
00-0034273,WR,,,,,,,,
00-0034808,RB,5-10,216.0,,15.0,35.0,120.0,7.13,4.51
00-0034406,WR,6-2,202.0,4.43,11.0,33.5,115.0,6.71,4.37
00-0034407,WR,5-9,190.0,4.53,13.0,34.5,113.0,,
00-0034409,WR,6-3,226.0,4.59,18.0,38.5,130.0,6.56,4.03
00-0034411,WR,,,,,,,,
00-0034278,WR,,,,,,,,
00-0034412,QB,6-4,215.0,,,26.5,103.0,,
00-0034414,RB,,,,,,,,
00-0034416,QB,6-4,218.0,4.98,,32.0,115.0,7.0,4.41
00-0034164,RB,,,,,,,,
00-0034279,WR,6-5,214.0,4.48,20.0,,,,
00-0034418,WR,6-2,197.0,4.55,9.0,37.0,121.0,6.89,4.23
00-0034419,WR,5-9,184.0,,11.0,,,,
00-0034420,TE,6-5,265.0,4.74,16.0,27.0,111.0,7.5,4.75
00-0034423,QB,6-2,222.0,4.76,,30.5,114.0,7.09,4.37
00-0034732,QB,,,,,,,,
00-0034426,WR,6-3,215.0,4.53,,33.5,113.0,7.0,
00-0034427,RB,,,,,,,,
00-0034747,WR,6-4,216.0,4.62,13.0,34.0,121.0,7.07,4.25
00-0034432,RB,6-1,228.0,4.52,14.0,40.0,129.0,,4.34
00-0034433,RB,6-2,245.0,,,,,,
00-0034286,WR,5-10,183.0,4.48,6.0,35.5,122.0,6.87,4.16
00-0034438,QB,6-1,213.0,4.79,,31.5,103.0,6.94,4.15
00-0034439,TE,6-5,256.0,4.94,18.0,33.0,110.0,7.15,4.43
00-0034440,RB,6-0,199.0,4.52,13.0,38.5,122.0,6.81,4.07
00-0034686,WR,6-5,228.0,4.68,,31.0,112.0,,
00-0034442,WR,,,,,,,,
00-0034339,WR,5-11,203.0,4.55,17.0,33.5,116.0,6.91,4.19
00-0035228,QB,5-10,207.0,,,,,,
00-0035710,QB,6-5,221.0,4.81,,33.5,120.0,7.0,4.41
00-0035229,TE,6-5,251.0,4.7,17.0,37.5,123.0,7.02,4.18
00-0035232,QB,6-3,231.0,5.04,,28.5,,,
00-0035644,TE,6-4,249.0,4.5,20.0,39.5,127.0,6.81,4.22
00-0035700,RB,5-10,220.0,,,,,,
00-0035662,WR,5-9,166.0,,,,,,
00-0035624,WR,6-2,228.0,4.53,27.0,38.5,122.0,,
00-0035719,WR,5-11,214.0,4.48,15.0,39.0,122.0,7.03,4.14
00-0035704,QB,6-4,228.0,4.69,,31.0,112.0,7.03,4.12
00-0034970,TE,6-2,242.0,4.63,19.0,32.5,110.0,7.32,4.33
00-0035676,WR,6-0,226.0,4.49,19.0,36.5,120.0,,
00-0035631,TE,6-5,255.0,4.71,,33.5,115.0,7.15,4.31
00-0035243,RB,5-11,211.0,4.49,20.0,36.0,124.0,6.89,4.19
00-0035140,WR,5-10,187.0,4.33,17.0,36.5,119.0,,
00-0035246,WR,,,,,,,,
00-0035639,WR,6-0,205.0,4.31,11.0,40.0,135.0,,4.03
00-0035527,WR,5-9,188.0,4.31,15.0,36.5,121.0,6.95,4.15
00-0035640,WR,6-3,228.0,4.33,27.0,40.5,134.0,7.38,4.5
00-0035216,WR,5-10,183.0,4.53,15.0,33.5,123.0,7.09,4.45
00-0034971,WR,6-5,226.0,,23.0,,,,
00-0035249,TE,6-5,249.0,4.63,22.0,34.0,117.0,7.21,4.47
00-0035664,RB,5-8,208.0,4.49,22.0,33.5,121.0,,
00-0035685,RB,5-10,222.0,4.63,15.0,28.5,121.0,,
00-0035250,RB,5-7,203.0,4.66,15.0,35.0,117.0,7.32,4.4
00-0035671,TE,6-4,251.0,4.75,17.0,31.5,113.0,7.19,4.31
