gsis_id,pfr_player_id,player_name,player_name_norm,position,hs_class,birth_date,draft_year,college,draft_team
00-0036382,HillKJ00,K.J. Hill,k j hill,WR,2015,1997-09-15,2020,Ohio St.,LAC
00-0036383,BenjEn00,Eno Benjamin,eno benjamin,RB,2017,1999-04-13,2020,Arizona St.,ARI
,McDoCo00,Cole McDonald,cole mcdonald,QB,2016,,2020,Hawaii,TEN
00-0036384,DiNuBe00,Ben DiNucci,ben dinucci,QB,2015,1996-11-24,2020,James Madison,DAL
00-0036433,StevTo01,Tommy Stevens,tommy stevens,QB,2015,1996-12-15,2020,Mississippi St.,NOR
00-0036279,StanNa00,Nate Stanley,nate stanley,QB,2016,1997-08-26,2020,Iowa,MIN
00-0036435,CalaRa00,Raymond Calais,raymond calais,RB,2016,1998-04-02,2020,Louisiana,TAM
00-0036245,PerrMa00,Malcolm Perry,malcolm perry,RB,2015,1997-04-19,2020,Navy,MIA
00-0036438,SullSt00,Stephen Sullivan,stephen sullivan,TE,2016,1996-11-28,2020,LSU,SEA
00-0036439,ClevTy00,Tyrie Cleveland,tyrie cleveland,WR,2016,1997-09-20,2020,Florida,DEN
00-0036971,LawrTr00,Trevor Lawrence,trevor lawrence,QB,2018,1999-10-06,2021,Clemson,JAX
00-0037013,WilsZa00,Zach Wilson,zach wilson,QB,2018,1999-08-03,2021,BYU,NYJ
00-0037012,LancTr00,Trey Lance,trey lance,QB,2018,2000-05-09,2021,North Dakota St.,SFO
00-0036970,PittKy00,Kyle Pitts,kyle pitts,TE,2018,2000-10-06,2021,Florida,ATL
00-0036900,ChasJa00,Ja'Marr Chase,ja marr chase,WR,2018,2000-03-01,2021,LSU,CIN
00-0036613,WaddJa00,Jaylen Waddle,jaylen waddle,WR,2018,1998-11-25,2021,Alabama,MIA
00-0036912,SmitDe07,DeVonta Smith,devonta smith,WR,2017,1998-11-14,2021,Alabama,PHI
00-0036945,FielJu00,Justin Fields,justin fields,QB,2018,1999-03-05,2021,Ohio St.,CHI
00-0036972,JoneMa05,Mac Jones,mac jones,QB,2017,1998-09-05,2021,Alabama,NWE
00-0036913,ToneKa00,Kadarius Toney,kadarius toney,WR,2017,1999-01-27,2021,Florida,NYG
00-0036893,HarrNa00,Najee Harris,najee harris,RB,2017,1998-03-09,2021,Alabama,PIT
