gsis_id,player_name,position,draft_year,draft_team,sos_opp_win_pct,games_scheduled,off_pass_yards,off_rush_yards,off_pass_rate_proxy,team_opportunity_ppr,team_pos_carries,team_pos_targets,team_pos_receptions,team_pos_touches,incumbent_pos_ppr,incumbent_pos_ppr_sum,incumbent_pos_carries,incumbent_pos_targets,incumbent_pos_touches
00-0031598,Nick Boyle,TE,2015,BAL,0.5078125,16.0,4449.0,1478.0,0.6383380547686497,32.8,0.0,17.0,12.0,12.0,,,,,
00-0031951,James O'Shaughnessy,TE,2015,KAN,0.49609375,16.0,3493.0,2044.0,0.5203520352035204,255.09999999999997,0.0,129.0,96.0,96.0,177.2,182.2,0.0,87.0,67.0
00-0031600,Keith Mumphery,WR,2015,HOU,0.49609375,16.0,4079.0,1731.0,0.5673693858845096,248.8,0.0,140.0,83.0,83.0,,,,,
00-0032115,Kaelin Clay,WR,2015,TAM,0.484375,16.0,4042.0,2162.0,0.5404040404040404,339.7,0.0,190.0,105.0,105.0,245.1,336.4,0.0,123.0,68.0
00-0031953,Geremy Davis,WR,2015,NYG,0.5,16.0,4500.0,1609.0,0.6072124756335283,558.7,7.0,306.0,190.0,197.0,297.0,542.5,7.0,130.0,98.0
00-0031954,Evan Spencer,WR,2015,WAS,0.46484375,16.0,4294.0,1566.0,0.5640243902439024,479.59999999999997,6.0,291.0,168.0,174.0,209.6,477.99999999999994,4.0,105.0,68.0
00-0032117,Nick O'Leary,TE,2015,BUF,0.5078125,16.0,3600.0,2432.0,0.47741273100616016,54.8,0.0,27.0,22.0,22.0,19.8,37.6,0.0,10.0,8.0
00-0032068,Malcolm Johnson,TE,2015,CLE,0.53125,16.0,4156.0,1529.0,0.6157735085945399,47.2,0.0,27.0,17.0,17.0,,,,,
00-0031533,Randall Telfer,TE,2015,CLE,0.53125,16.0,4156.0,1529.0,0.6157735085945399,47.2,0.0,27.0,17.0,17.0,,,,,
,Bud Sasser,WR,2015,STL,0.52734375,16.0,2931.0,1956.0,0.524390243902439,318.29999999999995,38.0,167.0,104.0,142.0,,,,,
00-0031610,Darren Waller,WR,2015,BAL,0.5078125,16.0,4449.0,1478.0,0.6383380547686497,339.1,0.0,164.0,104.0,104.0,,,,,
00-0031611,Josh Robinson,RB,2015,IND,0.5,16.0,3928.0,1438.0,0.6098522167487684,,,,,,,,,,
00-0031612,Aaron Ripkowski,RB,2015,GNB,0.53125,16.0,3825.0,1850.0,0.5678889990089198,301.90000000000003,286.0,61.0,47.0,333.0,272.6,293.40000000000003,246.0,55.0,288.0
00-0031617,Kennard Backman,TE,2015,GNB,0.53125,16.0,3825.0,1850.0,0.5678889990089198,54.5,0.0,30.0,20.0,20.0,54.5,54.5,0.0,30.0,20.0
00-0032120,Neal Sterling,WR,2015,JAX,0.47265625,16.0,4428.0,1473.0,0.631633714880333,357.59999999999997,3.0,246.0,136.0,139.0,154.7,357.6,3.0,97.0,51.0
00-0032139,Ben Koyack,TE,2015,JAX,0.47265625,16.0,4428.0,1473.0,0.631633714880333,111.5,0.0,66.0,44.0,44.0,60.9,111.5,0.0,35.0,26.0
00-0031959,Marcus Murphy,RB,2015,NOR,0.50390625,16.0,5205.0,1491.0,0.6268796992481203,276.4,244.0,89.0,69.0,313.0,191.9,276.4,226.0,51.0,255.0
00-0032070,Dezmin Lewis,WR,2015,BUF,0.5078125,16.0,3600.0,2432.0,0.47741273100616016,472.5,5.0,302.0,172.0,177.0,198.0,472.5,3.0,128.0,67.0
00-0031625,Kenny Hilliard,RB,2015,HOU,0.49609375,16.0,4079.0,1731.0,0.5673693858845096,136.4,208.0,30.0,22.0,230.0,,,,,
00-0031962,Mario Alford,WR,2015,CIN,0.4765625,16.0,4104.0,1805.0,0.5195473251028807,458.96000000000004,15.0,268.0,153.0,168.0,205.3,441.86,7.0,116.0,71.0
00-0032123,Tre McBride,WR,2015,TEN,0.4921875,16.0,3893.0,1485.0,0.5976138828633406,263.7,4.0,160.0,85.0,89.0,167.9,263.7,4.0,93.0,61.0
00-0032141,Geoff Swaim,TE,2015,DAL,0.53125,16.0,3677.0,1890.0,0.5641025641025641,216.60000000000002,0.0,109.0,77.0,77.0,164.3,216.60000000000002,0.0,90.0,64.0
00-0032156,Trevor Siemian,QB,2015,DEN,0.5,16.0,4216.0,1718.0,0.5958702064896755,6.08,8.0,0.0,0.0,8.0,6.08,6.08,8.0,0.0,8.0
00-0032072,Rory Anderson,TE,2015,SFO,0.5390625,16.0,3646.0,1544.0,0.574235807860262,92.9,2.0,75.0,39.0,41.0,62.9,73.2,1.0,50.0,27.0
00-0032190,Gerald Christian,TE,2015,ARI,0.4765625,16.0,4775.0,1917.0,0.5542406311637081,26.14,0.0,14.0,8.0,8.0,,,,,
00-0033106,Jared Goff,QB,2016,LAR,0.49609375,16.0,3313.0,1252.0,0.5883644346871569,140.94,29.0,0.0,0.0,29.0,43.62,44.86,12.0,0.0,12.0
00-0032950,Carson Wentz,QB,2016,PHI,0.55078125,16.0,3798.0,1813.0,0.5816618911174785,227.74,32.0,0.0,0.0,32.0,,,,,
00-0033045,Ezekiel Elliott,RB,2016,DAL,0.46484375,16.0,3799.0,2396.0,0.49185336048879835,281.2,291.0,88.0,68.0,359.0,197.7,248.49999999999997,239.0,53.0,279.0
00-0032966,Corey Coleman,WR,2016,CLE,0.54296875,16.0,3693.0,1712.0,0.6183206106870229,282.7,5.0,202.0,111.0,116.0,25.7,30.8,1.0,21.0,14.0
