season,overall_pick,round,round_pick,team_id,espn_player_id,gsis_id,player_name,position,pro_team,is_keeper,bid_amount
2023,151,16,1,4,3049899,00-0033702,Younghoe Koo,K,ATL,False,0
2023,152,16,2,9,-16028,,WAS D/ST,D/ST,WAS,False,0
2023,153,16,3,1,8439,00-0023459,Aaron Rodgers,QB,NYJ,False,0
2023,154,16,4,8,4385690,00-0038933,Dalton Kincaid,TE,BUF,False,0
2023,155,16,5,6,3910544,00-0036370,Joshua Kelley,RB,LAC,False,0
2023,156,16,6,3,3050478,00-0033787,Jake Elliott,K,PHI,False,0
2023,157,16,7,2,14993,00-0029621,Greg Zuerlein,K,NYJ,False,0
2023,158,16,8,5,-16021,,PHI D/ST,D/ST,PHI,False,0
2023,159,16,9,10,3051738,00-0034272,Marquez Valdes-Scantling,WR,KC,False,0
2023,160,16,10,7,4428331,00-0039067,Rashee Rice,WR,KC,False,0
2024,1,1,1,9,3117251,00-0033280,Christian McCaffrey,RB,SF,False,0
2024,2,1,2,6,4241389,00-0036358,CeeDee Lamb,WR,DAL,False,0
2024,3,1,3,1,4427366,00-0038120,Breece Hall,RB,NYJ,False,0
2024,4,1,4,4,4430807,00-0038542,Bijan Robinson,RB,ATL,False,0
2024,5,1,5,5,3116406,00-0033040,Tyreek Hill,WR,MIA,False,0
2024,6,1,6,3,4262921,00-0036322,Justin Jefferson,WR,MIN,False,0
2024,7,1,7,2,4374302,00-0036963,Amon-Ra St. Brown,WR,DET,False,0
2024,8,1,8,7,4362628,00-0036900,Ja'Marr Chase,WR,CIN,False,0
2024,9,1,9,10,3929630,00-0034844,Saquon Barkley,RB,PHI,False,0
2024,10,1,10,8,4242335,00-0036223,Jonathan Taylor,RB,IND,False,0
2024,11,2,1,8,4569618,00-0037740,Garrett Wilson,WR,NYJ,False,0
2024,12,2,2,10,4426515,00-0039075,Puka Nacua,WR,LA,False,0
2024,13,2,3,7,4429795,00-0039139,Jahmyr Gibbs,RB,DET,False,0
2024,14,2,4,2,4047646,00-0035676,A.J. Brown,WR,PHI,False,0
2024,15,2,5,3,4239996,00-0036973,Travis Etienne Jr.,RB,JAX,False,0
2024,16,2,6,5,4432708,00-0039849,Marvin Harrison Jr.,WR,ARI,False,0
2024,17,2,7,4,4361529,00-0037197,Isiah Pacheco,RB,KC,False,0
2024,18,2,8,1,4430737,00-0037840,Kyren Williams,RB,LA,False,0
2024,19,2,9,6,16800,00-0031381,Davante Adams,WR,LA,False,0
