season,proj_finish,actual_finish,team,team_id,is_my_team,sim_wins_mean,wins,sim_points_mean,points_for,sim_seed_mean,playoff_seed,final_rank,playoff_odds,abs_err
2023,8,8,SkyysTheLimit,4,False,6.338666666666667,6,1352.053038028438,1611.34,6.518666666666666,8,7,0.456,0
2023,9,4,Je-Romen Empire,9,False,6.024,9,1314.9450821418343,1704.16,7.081,4,5,0.3673333333333333,5
2023,10,6,Sahit on my face,3,False,5.9383333333333335,7,1315.9254667090693,1645.4400000000005,7.222333333333333,6,2,0.3456666666666667,4
2024,1,8,My Hock Hurts,6,False,7.777333333333333,5,1442.2758975607846,1661.0399999999995,4.223333333333334,8,9,0.7636666666666667,7
2024,2,4,North of the Mason-Njigba,1,False,7.465666666666666,9,1446.144416235218,1728.7400000000002,4.678,4,4,0.7256666666666667,2
2024,3,2,Gibbing my Jonathan a tug,7,True,7.518333333333333,8,1410.5647008093515,1783.86,4.757666666666666,2,1,0.7136666666666667,1
2024,4,1,Im going Tua Hill Myself,5,False,7.249333333333333,11,1432.492110219803,1889.88,5.034666666666666,1,2,0.6653333333333333,3
2024,5,6,Mixon up da Browns,2,False,7.206,6,1422.3059763332217,1695.0999999999997,5.122333333333334,6,6,0.658,1
2024,6,9,GiveMeMyFlowers,4,False,7.191333333333334,5,1432.6790833297223,1594.6800000000003,5.122333333333334,9,8,0.659,3
2024,7,5,Avengers: Saquontumania,10,False,6.57,6,1361.2372720687133,1725.88,6.250666666666667,5,5,0.481,2
2024,8,7,Courtland Trailblazers,9,False,6.433666666666666,6,1359.8391229361316,1675.7599999999998,6.430666666666666,7,7,0.462,1
2024,9,10,"Sahit, I don't have kik, stop",8,False,6.328,4,1347.1531460907586,1421.6799999999998,6.644333333333333,10,10,0.4346666666666666,1
2024,10,3,Sahit on my face,3,False,6.2603333333333335,10,1342.3798272294653,1767.9,6.736,3,3,0.437,7
2025,1,2,Padma's Pack,7,True,7.936333333333334,9,1464.152768797416,1805.2,3.9303333333333335,2,2,0.7996666666666666,1
2025,2,6,Ladd's McCaffrican Boutte,6,False,7.453333333333333,7,1412.6833639979886,1673.2199999999998,4.878,6,6,0.6986666666666667,4
2025,3,8,Jauantanomo Bay,2,False,7.228666666666666,6,1422.645562299415,1582.28,5.024,8,10,0.652,5
2025,4,1,Free Win,5,False,7.007666666666666,10,1389.9253619376616,1903.06,5.507666666666666,1,1,0.609,3
2025,5,3,Sahit on my face,3,False,7.004,8,1372.7843409355166,1550.42,5.558666666666666,3,3,0.5926666666666667,2
2025,6,5,"Sahit, I don't have kik, stop",8,False,6.881666666666667,7,1395.418769519247,1678.8600000000004,5.637333333333333,5,4,0.598,1
2025,7,9,OhPlzMrsRobinson,4,False,6.835,5,1389.362201731696,1606.78,5.714,9,8,0.5686666666666667,2
2025,8,7,Karma is the guy on the Chiefs,9,False,6.842666666666666,6,1376.324455362703,1608.9999999999998,5.839,7,9,0.5626666666666666,1
2025,9,10,Phil 1010 Prof: Hurts MTW 10-12,1,False,6.531,5,1357.0991606173602,1578.8,6.278666666666667,10,7,0.482,1
2025,10,4,Boswell That Ends Well,10,False,6.2796666666666665,7,1359.2818917140175,1853.36,6.632333333333333,4,5,0.4366666666666666,6
