gsis_id,player_name,position,draft_year,first_stat_season,ppr_y1,ppr_y2,ppr_y3,games_y1,games_y2,games_y3,dynasty_seasons_observed,dynasty_seasons_complete,dynasty_ppr_y1_y3_total,dynasty_ppr_y1_y3_avg_season,dynasty_ppr_y1_y3_avg_game,dynasty_games_y1_y3
00-0036913,Kadarius Toney,WR,2021,2021.0,82.36,59.3,53.0,9.0,9.0,13.0,3,1,194.66,64.88666666666667,6.279354838709677,31.0
00-0036893,Najee Harris,RB,2021,2021.0,300.7,223.46,195.5,17.0,17.0,17.0,3,1,719.66,239.88666666666666,14.110980392156861,51.0
00-0036973,Travis Etienne,RB,2021,2022.0,203.1,282.4,130.2,17.0,17.0,15.0,3,1,615.7,205.23333333333335,12.56530612244898,49.0
00-0036550,Rashod Bateman,WR,2021,2021.0,103.5,53.5,76.5,12.0,6.0,15.0,3,1,233.5,77.83333333333333,7.075757575757576,33.0
00-0036980,Elijah Moore,WR,2021,2021.0,138.2,88.1,132.1,11.0,14.0,16.0,3,1,358.4,119.46666666666665,8.741463414634145,41.0
00-0036997,Javonte Williams,RB,2021,2021.0,204.9,42.0,179.2,17.0,4.0,16.0,3,1,426.1,142.03333333333333,11.516216216216216,37.0
00-0036936,Rondale Moore,WR,2021,2021.0,111.1,87.89999999999999,105.0,14.0,8.0,17.0,3,1,304.0,101.33333333333333,7.794871794871795,39.0
00-0036894,Pat Freiermuth,TE,2021,2021.0,151.7,148.2,76.8,16.0,15.0,11.0,3,1,376.7,125.56666666666666,8.969047619047618,42.0
00-0036620,D'Wayne Eskridge,WR,2021,2021.0,28.3,13.8,0.5,8.0,8.0,3.0,3,1,42.6,14.200000000000001,2.2421052631578946,19.0
00-0036849,Tutu Atwell,WR,2021,2022.0,63.2,112.39999999999999,98.9,12.0,14.0,15.0,3,1,274.5,91.5,6.695121951219512,41.0
00-0036955,Terrace Marshall Jr.,WR,2021,2021.0,32.800000000000004,83.0,32.9,12.0,13.0,8.0,3,1,148.70000000000002,49.56666666666667,4.506060606060607,33.0
00-0036928,Kyle Trask,QB,2021,2022.0,0.92,-0.1,-0.2,1.0,2.0,3.0,3,1,0.6200000000000001,0.2066666666666667,0.10333333333333335,6.0
00-0036946,Kellen Mond,QB,2021,2021.0,0.2,,,1.0,,,1,0,,,,
00-0036898,Davis Mills,QB,2021,2021.0,156.95999999999998,181.52,17.82,13.0,15.0,5.0,3,1,356.3,118.76666666666667,10.796969696969697,33.0
00-0036988,Josh Palmer,WR,2021,2021.0,92.9,169.3,106.7,15.0,16.0,10.0,3,1,368.90000000000003,122.96666666666668,8.997560975609757,41.0
00-0037004,Hunter Long,TE,2021,2021.0,1.8,,,3.0,,,1,0,,,,
00-0036626,Dyami Brown,WR,2021,2021.0,28.1,32.800000000000004,34.96,9.0,7.0,13.0,3,1,95.86000000000001,31.953333333333337,3.305517241379311,29.0
00-0037005,Tommy Tremble,TE,2021,2021.0,53.1,54.400000000000006,60.4,14.0,14.0,13.0,3,1,167.9,55.96666666666667,4.095121951219513,41.0
00-0036991,Amari Rodgers,WR,2021,2021.0,9.6,43.1,0.0,4.0,9.0,1.0,3,1,52.7,17.566666666666666,3.7642857142857147,14.0
00-0036984,Trey Sermon,RB,2021,2021.0,28.3,1.9,20.3,5.0,1.0,8.0,3,1,50.5,16.833333333333332,3.607142857142857,14.0
00-0036554,Nico Collins,WR,2021,2021.0,83.6,97.1,260.4,14.0,10.0,15.0,3,1,441.09999999999997,147.03333333333333,11.31025641025641,39.0
00-0036999,Anthony Schwartz,WR,2021,2021.0,33.4,18.8,,12.0,6.0,,2,0,,,,
00-0037011,Tre' McKitty,TE,2021,2021.0,10.5,17.2,,6.0,8.0,,2,0,,,,
00-0036924,Michael Carter,RB,2021,2021.0,154.4,126.0,58.800000000000004,14.0,16.0,15.0,3,1,339.2,113.06666666666666,7.5377777777777775,45.0
00-0036627,Dez Fitzpatrick,WR,2021,2021.0,15.9,,,3.0,,,1,0,,,,
00-0036963,Amon-Ra St. Brown,WR,2021,2021.0,227.3,267.6,330.9,16.0,16.0,16.0,3,1,825.8,275.26666666666665,17.204166666666666,48.0
00-0036842,Kene Nwangwu,RB,2021,2021.0,23.0,11.5,1.3,6.0,3.0,3.0,3,1,35.8,11.933333333333332,2.983333333333333,12.0
00-0036875,Rhamondre Stevenson,RB,2021,2021.0,114.89999999999999,249.1,145.7,12.0,17.0,12.0,3,1,509.7,169.9,12.43170731707317,41.0
00-0036628,John Bates,TE,2021,2021.0,50.9,30.8,34.1,11.0,9.0,14.0,3,1,115.80000000000001,38.6,3.405882352941177,34.0
00-0036555,Chuba Hubbard,RB,2021,2021.0,137.6,89.7,182.5,16.0,12.0,17.0,3,1,409.8,136.6,9.106666666666667,45.0
00-0036876,Kylen Granson,TE,2021,2021.0,21.6,61.2,73.0,10.0,13.0,15.0,3,1,155.8,51.93333333333334,4.1000000000000005,38.0
00-0036877,Jaelon Darden,WR,2021,2021.0,11.399999999999999,4.800000000000001,,7.0,3.0,,2,0,,,,
00-0036630,Tylan Wallace,WR,2021,2021.0,4.3,7.3,8.1,4.0,5.0,2.0,3,1,19.7,6.566666666666666,1.7909090909090908,11.0
00-0036929,Ian Book,QB,2021,2021.0,2.0,,,1.0,,,1,0,,,,
00-0036918,Jacob Harris,WR,2021,2022.0,1.6,,,1.0,,,1,0,,,,
00-0036887,Luke Farrell,TE,2021,2021.0,12.6,8.0,28.5,8.0,4.0,9.0,3,1,49.1,16.366666666666667,2.3380952380952382,21.0
00-0036556,Brevin Jordan,TE,2021,2021.0,55.8,26.799999999999997,50.9,8.0,9.0,9.0,3,1,133.5,44.5,5.134615384615385,26.0
00-0036919,Kenneth Gainwell,RB,2021,2021.0,123.4,87.9,97.38,16.0,17.0,16.0,3,1,308.68,102.89333333333333,6.299591836734694,49.0
00-0036635,Ihmir Smith-Marsette,WR,2021,2021.0,28.6,0.4,32.5,3.0,3.0,7.0,3,1,61.5,20.5,4.730769230769231,13.0
00-0036637,Noah Gray,TE,2021,2021.0,16.6,70.0,70.6,7.0,17.0,16.0,3,1,157.2,52.4,3.9299999999999997,40.0
00-0036640,Zach Davidson,TE,2021,2024.0,,,,,,,0,0,,,,
00-0036646,Simi Fehoko,WR,2021,2022.0,5.4,7.9,16.6,2.0,1.0,5.0,3,1,29.900000000000002,9.966666666666667,3.7375000000000003,8.0
00-0036647,Cornell Powell,WR,2021,,,,,,,,0,0,,,,
00-0036565,Ben Mason,RB,2021,,,,,,,,0,0,,,,
00-0036951,Frank Darby,WR,2021,2021.0,2.4,2.5,,2.0,1.0,,2,0,,,,
00-0036567,Elijah Mitchell,RB,2021,2021.0,165.0,43.6,47.5,11.0,5.0,11.0,3,1,256.1,85.36666666666667,9.485185185185186,27.0
00-0036569,Gary Brightwell,RB,2021,2021.0,2.0,29.0,11.6,2.0,8.0,3.0,3,1,42.6,14.200000000000001,3.276923076923077,13.0
00-0036650,Larry Rountree,RB,2021,2021.0,15.600000000000001,5.3,,8.0,2.0,,2,0,,,,
00-0036857,Chris Evans,RB,2021,2021.0,49.8,12.8,2.1,9.0,4.0,1.0,3,1,64.69999999999999,21.566666666666663,4.621428571428571,14.0
00-0036571,Marquez Stevenson,WR,2021,,,,,,,,0,0,,,,
00-0036572,Shi Smith,WR,2021,2021.0,16.1,61.6,,5.0,15.0,,2,0,,,,
00-0036652,Racey McMath,WR,2021,2021.0,0.7999999999999998,6.4,,5.0,4.0,,2,0,,,,
00-0036858,Jalen Camp,WR,2021,2022.0,1.7,,,1.0,,,1,0,,,,
00-0036654,Demetric Felton,RB,2021,2021.0,50.5,2.4,,11.0,4.0,,2,0,,,,
00-0036906,Khalil Herbert,RB,2021,2021.0,78.9,117.8,112.5,14.0,13.0,12.0,3,1,309.2,103.06666666666666,7.928205128205128,39.0
00-0036879,Sam Ehlinger,QB,2021,2021.0,0.9,35.620000000000005,,3.0,4.0,,2,0,,,,
00-0036657,Seth Williams,WR,2021,2021.0,4.4,,,1.0,,,1,0,,,,
00-0036907,Dazz Newsome,WR,2021,2021.0,4.3,,,3.0,,,1,0,,,,
00-0036482,Mike Strachan,WR,2021,2021.0,4.6,8.899999999999999,5.5,2.0,5.0,2.0,3,1,19.0,6.333333333333333,2.111111111111111,9.0
00-0036860,Jake Funk,RB,2021,2021.0,0.5,,3.2,2.0,,1.0,2,0,,,,
00-0036536,Tre Nixon,WR,2021,,,,,,,,0,0,,,,
00-0036578,Gerrid Doaks,RB,2021,,,,,,,,0,0,,,,
00-0036862,Ben Skowronek,WR,2021,2021.0,24.3,84.3,21.5,7.0,14.0,9.0,3,1,130.1,43.36666666666667,4.336666666666667,30.0
00-0036939,Kawaan Baker,WR,2021,,,,,,,,0,0,,,,
00-0036669,Kylin Hill,RB,2021,2021.0,3.9,0.7,,4.0,1.0,,2,0,,,,
00-0036670,Jermar Jefferson,RB,2021,2021.0,25.7,,,4.0,,,1,0,,,,
00-0036671,Dax Milne,WR,2021,2021.0,15.4,15.7,,9.0,7.0,,2,0,,,,
00-0037238,Drake London,WR,2022,2022.0,178.6,174.38,280.8,17.0,16.0,17.0,3,1,633.78,211.26,12.6756,50.0
00-0037740,Garrett Wilson,WR,2022,2022.0,215.7,213.2,251.9,17.0,17.0,17.0,3,1,680.8,226.9333333333333,13.349019607843136,51.0
00-0037239,Chris Olave,WR,2022,2022.0,198.2,231.29999999999998,76.7,15.0,16.0,8.0,3,1,506.2,168.73333333333332,12.97948717948718,39.0
00-0037240,Jameson Williams,WR,2022,2022.0,15.1,80.3,212.2,6.0,12.0,15.0,3,1,307.59999999999997,102.53333333333332,9.32121212121212,33.0
00-0037741,Jahan Dotson,WR,2022,2022.0,130.6,124.8,41.9,12.0,17.0,14.0,3,1,297.29999999999995,99.09999999999998,6.913953488372092,43.0
00-0037742,Treylon Burks,WR,2022,2022.0,88.1,39.9,7.5,11.0,9.0,5.0,3,1,135.5,45.166666666666664,5.42,25.0
