gsis_id,player_name,position,draft_year,first_stat_season,ppr_y1,ppr_y2,ppr_y3,dynasty_seasons_complete,dynasty_ppr_y1_y3_total,dynasty_ppr_y1_y3_avg_season,dynasty_ppr_y1_y3_avg_game,y1_rank_pct_pos,y2_rank_pct_pos,y3_rank_pct_pos,y3_vs_y1_delta,y3_vs_y2_delta,slow_start,strong_y3,late_bloomer_y3,slow_y1_y2_strong_y3,trajectory_archetype
00-0031291,James Wright,WR,2014,2014.0,17.1,,23.0,0,,,,,,,5.899999999999999,,False,False,False,False,limited_sample
00-0031271,Trey Millard,RB,2014,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0031503,Jameis Winston,QB,2015,2015.0,274.98,256.1,201.66,1,732.74,244.24666666666667,16.28311111111111,100.0,75.0,75.0,-73.32000000000002,-54.440000000000026,False,True,False,False,early_peak
00-0032268,Marcus Mariota,QB,2015,2015.0,211.02,259.94,210.48,1,681.44,227.14666666666668,16.224761904761905,75.0,100.0,100.0,-0.5400000000000205,-49.46000000000001,False,True,False,False,steady
00-0031544,Amari Cooper,WR,2015,2015.0,213.9,232.29999999999998,158.4,1,604.6,201.53333333333333,13.143478260869566,100.0,100.0,75.0,-55.5,-73.89999999999998,False,True,False,False,early_peak
00-0031545,Kevin White,WR,2015,2016.0,38.6,2.6,13.200000000000001,1,54.400000000000006,18.133333333333336,6.800000000000001,18.75,6.25,25.0,-25.4,10.600000000000001,True,False,False,False,steady
00-0032241,Todd Gurley,RB,2015,2015.0,208.4,198.2,385.3,1,791.9000000000001,263.9666666666667,17.997727272727275,100.0,85.71428571428571,100.0,176.9,187.10000000000002,False,True,False,False,steady
00-0031547,DeVante Parker,WR,2015,2015.0,93.4,154.4,130.0,1,377.8,125.93333333333334,10.494444444444445,62.5,81.25,68.75,36.599999999999994,-24.400000000000006,False,True,False,False,steady
00-0032144,Melvin Gordon,RB,2015,2015.0,108.3,250.6,288.09999999999997,1,647.0,215.66666666666666,15.046511627906977,57.14285714285714,100.0,92.85714285714286,179.79999999999995,37.49999999999997,False,True,False,False,steady
00-0031549,Nelson Agholor,WR,2015,2015.0,55.3,87.9,187.5,1,330.7,110.23333333333333,7.515909090909091,56.25,43.75,87.5,132.2,99.6,False,True,False,False,steady
00-0032054,Breshad Perriman,WR,2015,2016.0,101.1,17.7,62.2,1,181.0,60.333333333333336,5.027777777777778,68.75,18.75,43.75,-38.89999999999999,44.5,False,False,False,False,early_peak
00-0032208,Phillip Dorsett,WR,2015,2015.0,48.2,98.8,32.1,1,179.1,59.699999999999996,5.1171428571428565,43.75,56.25,37.5,-16.1,-66.69999999999999,False,False,False,False,steady
00-0032209,T.J. Yeldon,RB,2015,2015.0,155.9,137.7,87.7,1,381.3,127.10000000000001,10.305405405405406,85.71428571428571,64.28571428571429,50.0,-68.2,-49.999999999999986,False,False,False,False,early_peak
00-0031934,Devin Smith,WR,2015,2015.0,26.5,3.0,,0,,,,,,,,,False,False,False,False,limited_sample
00-0032218,Dorial Green-Beckham,WR,2015,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0032055,Devin Funchess,WR,2015,2015.0,106.30000000000001,86.1,195.0,1,387.4,129.13333333333333,8.421739130434782,75.0,37.5,93.75,88.69999999999999,108.9,False,True,False,False,steady
00-0032104,Ameer Abdullah,RB,2015,2015.0,117.0,26.8,124.39999999999999,1,268.2,89.39999999999999,8.38125,71.42857142857143,42.857142857142854,57.14285714285714,7.3999999999999915,97.6,False,False,False,False,steady
00-0031558,Maxx Williams,TE,2015,2015.0,64.8,,28.2,0,,,,,,,-36.599999999999994,,False,False,False,False,limited_sample
00-0032211,Tyler Lockett,WR,2015,2015.0,167.4,124.1,124.3,1,415.8,138.6,9.039130434782608,93.75,62.5,62.5,-43.10000000000001,0.20000000000000284,False,False,False,False,early_peak
00-0031560,Jaelen Strong,WR,2015,2015.0,48.1,27.1,12.8,1,88.0,29.333333333333332,5.176470588235294,37.5,25.0,12.5,-35.3,-14.3,False,False,False,False,early_peak
00-0032058,Tevin Coleman,RB,2015,2015.0,42.599999999999994,191.1,167.7,1,401.4,133.79999999999998,10.035,42.857142857142854,78.57142857142857,78.57142857142857,125.1,-23.400000000000006,False,True,False,False,steady
00-0032128,Chris Conley,WR,2015,2015.0,42.9,97.0,28.5,1,168.4,56.13333333333333,5.613333333333333,31.25,50.0,31.25,-14.399999999999999,-68.5,True,False,False,False,steady
00-0032257,Duke Johnson,RB,2015,2015.0,164.3,144.2,216.1,1,524.6,174.86666666666667,10.929166666666667,92.85714285714286,71.42857142857143,85.71428571428571,51.79999999999998,71.9,False,True,False,False,steady
00-0032214,Tyler Kroft,TE,2015,2015.0,29.9,19.2,124.4,1,173.5,57.833333333333336,6.425925925925926,77.77777777777779,55.55555555555556,100.0,94.5,105.2,False,True,False,False,steady
00-0032166,Sammie Coates,WR,2015,2015.0,2.1,77.9,13.0,1,93.0,31.0,5.470588235294118,6.25,31.25,18.75,10.9,-64.9,True,False,False,False,steady
00-0032245,Sean Mannion,QB,2015,2015.0,1.24,-1.34,5.2,1,5.1,1.7,0.7285714285714285,50.0,25.0,25.0,3.96,6.54,False,False,False,False,early_peak
00-0032227,Jeff Heuerman,TE,2015,2016.0,23.1,35.2,71.1,1,129.4,43.13333333333333,4.976923076923077,66.66666666666666,77.77777777777779,77.77777777777779,47.99999999999999,35.89999999999999,False,True,False,False,steady
00-0032200,Ty Montgomery,WR,2015,2015.0,42.0,140.5,91.6,1,274.1,91.36666666666667,10.542307692307693,25.0,75.0,50.0,49.599999999999994,-48.900000000000006,True,False,False,False,steady
