gsis_id,player_name,position,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td
00-0033537,Deshaun Watson,QB,2016,4593.0,41.0,629.0,9.0,,,
00-0033879,O.J. Howard,TE,2016,,,,,45.0,595.0,3.0
00-0033881,Evan Engram,TE,2016,,,,,65.0,926.0,8.0
00-0033885,David Njoku,TE,2016,,,,,43.0,698.0,8.0
00-0033891,Zay Jones,WR,2016,2.0,1.0,24.0,0.0,156.0,1731.0,8.0
00-0033282,Curtis Samuel,WR,2016,,,771.0,8.0,74.0,865.0,7.0
00-0033893,Dalvin Cook,RB,2016,,,1765.0,19.0,33.0,488.0,1.0
00-0033895,Gerald Everett,TE,2016,,,,,49.0,717.0,4.0
00-0033896,Adam Shaheen,TE,,,,,,,,
00-0033897,Joe Mixon,RB,2016,26.0,1.0,1274.0,10.0,37.0,538.0,5.0
00-0033899,DeShone Kizer,QB,2016,2925.0,26.0,472.0,8.0,1.0,4.0,0.0
00-0033857,JuJu Smith-Schuster,WR,2016,,,27.0,0.0,70.0,914.0,10.0
00-0033906,Alvin Kamara,RB,2016,,,596.0,9.0,40.0,392.0,4.0
00-0033908,Cooper Kupp,WR,2016,22.0,0.0,29.0,0.0,12.0,206.0,3.0
00-0033911,Taywan Taylor,WR,2016,,,36.0,0.0,98.0,1730.0,17.0
00-0033916,ArDarius Stewart,WR,2016,36.0,0.0,68.0,0.0,54.0,864.0,8.0
00-0033919,Carlos Henderson,WR,2016,,,133.0,2.0,82.0,1535.0,19.0
00-0033921,Chris Godwin,WR,2016,,,13.0,0.0,59.0,982.0,11.0
00-0033923,Kareem Hunt,RB,2016,,,1475.0,10.0,41.0,403.0,1.0
00-0033550,Davis Webb,QB,2016,4295.0,37.0,-110.0,6.0,,,
00-0033925,D'Onta Foreman,RB,2016,,,2028.0,15.0,7.0,75.0,0.0
00-0033932,Kenny Golladay,WR,2016,,,192.0,2.0,88.0,1164.0,8.0
00-0033933,Chad Williams,WR,2016,,,,,13.0,152.0,0.0
00-0033858,Jonnu Smith,TE,2016,,,5.0,0.0,42.0,506.0,4.0
00-0033936,C.J. Beathard,QB,2016,1929.0,17.0,-13.0,2.0,,,
00-0033553,James Conner,RB,2016,,,1092.0,16.0,21.0,302.0,4.0
00-0033937,Amara Darboh,WR,2016,,,,,57.0,862.0,7.0
00-0033839,Dede Westbrook,WR,2016,0.0,0.0,101.0,0.0,80.0,1524.0,17.0
00-0033526,Samaje Perine,RB,2016,,,1060.0,12.0,10.0,106.0,1.0
00-0033943,Josh Reynolds,WR,2016,,,,,61.0,1039.0,12.0
00-0033555,Mack Hollins,WR,2016,,,,,16.0,309.0,4.0
00-0033556,Tarik Cohen,RB,2016,,,149.0,1.0,9.0,125.0,0.0
00-0033286,Joe Williams,RB,2017,,,,,3.0,29.0,0.0
00-0033559,Michael Roberts,TE,2016,,,,,45.0,533.0,16.0
00-0033859,Josh Malone,WR,2016,,,,,50.0,972.0,11.0
00-0033561,Donnel Pumphrey,RB,2016,0.0,0.0,2133.0,17.0,27.0,231.0,0.0
00-0033562,Ryan Switzer,WR,2016,0.0,0.0,14.0,0.0,96.0,1112.0,6.0
00-0033948,Jamaal Williams,RB,2016,,,1375.0,12.0,7.0,80.0,0.0
00-0033949,Joshua Dobbs,QB,2016,2946.0,27.0,831.0,12.0,1.0,4.0,1.0
00-0033464,Jehu Chesson,WR,2016,,,63.0,1.0,35.0,500.0,2.0
00-0033950,Wayne Gallman,RB,2016,,,1133.0,17.0,20.0,152.0,0.0
