gsis_id,player_name,position,draft_year,first_stat_season,rookie_ppr,rookie_games,rookie_ppr_per_game,rookie_ppr_rank_pos
00-0032365,Demarcus Ayers,WR,2016,2016.0,16.099999999999998,2.0,8.049999999999999,16.0
00-0032801,Daniel Braverman,WR,2016,2016.0,0.0,2.0,0.0,26.0
00-0033061,Thomas Duarte,TE,2016,,,,,
00-0032450,Dwayne Washington,RB,2016,2016.0,48.7,11.0,4.427272727272728,11.0
00-0032804,Daniel Lasco,RB,2016,2016.0,6.3,3.0,2.1,17.0
00-0032451,Devin Fuller,WR,2016,,,,,
00-0032959,Charone Peake,WR,2016,2016.0,37.6,11.0,3.4181818181818184,11.0
00-0032806,Keith Marshall,RB,2016,,,,,
00-0032453,Kenny Lawler,WR,2016,,,,,
00-0032808,Zac Brooks,RB,2016,,,,,
00-0032900,Beau Sandland,TE,2016,,,,,
00-0033869,Mitchell Trubisky,QB,2017,2017.0,134.52,12.0,11.21,3.0
00-0033856,Leonard Fournette,RB,2017,2017.0,230.2,13.0,17.707692307692305,3.0
00-0033871,Corey Davis,WR,2017,2017.0,71.5,11.0,6.5,7.0
00-0033536,Mike Williams,WR,2017,2017.0,20.500000000000004,9.0,2.277777777777778,14.0
00-0033280,Christian McCaffrey,RB,2017,2017.0,228.6,16.0,14.2875,4.0
00-0033460,John Ross,WR,2017,2017.0,-0.8,3.0,-0.26666666666666666,27.0
00-0033873,Patrick Mahomes,QB,2017,2017.0,10.36,1.0,10.36,5.0
00-0033537,Deshaun Watson,QB,2017,2017.0,168.86,7.0,24.122857142857146,2.0
00-0033879,O.J. Howard,TE,2017,2017.0,101.2,13.0,7.7846153846153845,3.0
00-0033881,Evan Engram,TE,2017,2017.0,173.6,15.0,11.573333333333332,1.0
00-0033885,David Njoku,TE,2017,2017.0,94.7,16.0,5.91875,4.0
00-0033891,Zay Jones,WR,2017,2017.0,70.60000000000001,14.0,5.042857142857144,8.0
00-0033282,Curtis Samuel,WR,2017,2017.0,32.9,8.0,4.1125,12.0
00-0033893,Dalvin Cook,RB,2017,2017.0,65.4,4.0,16.35,13.0
00-0033895,Gerald Everett,TE,2017,2017.0,51.7,13.0,3.976923076923077,5.0
00-0033896,Adam Shaheen,TE,2017,2017.0,42.7,6.0,7.116666666666667,7.0
00-0033897,Joe Mixon,RB,2017,2017.0,141.3,14.0,10.092857142857143,7.0
00-0033899,DeShone Kizer,QB,2017,2017.0,175.66,15.0,11.710666666666667,1.0
00-0033857,JuJu Smith-Schuster,WR,2017,2017.0,197.7,13.0,15.207692307692307,1.0
00-0033906,Alvin Kamara,RB,2017,2017.0,320.4,16.0,20.025,1.0
00-0033908,Cooper Kupp,WR,2017,2017.0,176.9,15.0,11.793333333333333,2.0
